,Date,HourOfDay,kWh,Percent
443,04/10/2013,22,98.3,0.04614583333333333
444,05/15/2013,22,98.3,0.04625
445,06/19/2013,22,98.1,0.04635416666666667
446,11/04/2013,17,98.1,0.04645833333333333
447,10/30/2013,20,97.69999999999999,0.0465625
448,07/11/2013,20,97.4,0.04666666666666667
449,10/27/2013,17,96.7,0.04677083333333333
450,08/25/2013,20,95.8,0.046875
451,08/11/2013,20,95.5,0.04697916666666667
452,08/04/2013,20,95.3,0.04708333333333333
453,08/18/2013,20,95.1,0.0471875
454,07/14/2013,20,95.0,0.04729166666666667
455,07/21/2013,20,94.8,0.04739583333333333
456,05/17/2013,20,94.60000000000001,0.0475
457,07/28/2013,20,94.6,0.04760416666666667
458,07/31/2013,20,94.6,0.04770833333333333
459,05/19/2013,20,94.5,0.0478125
460,07/24/2013,20,94.30000000000001,0.04791666666666667
461,10/28/2013,17,92.80000000000001,0.04802083333333333
462,01/28/2014,21,92.2,0.048125
463,01/08/2014,18,91.7,0.04822916666666666
464,11/14/2013,21,91.7,0.04833333333333333
465,01/08/2014,19,91.5,0.0484375
466,01/27/2014,19,91.4,0.048541666666666664
467,01/27/2014,20,91.2,0.04864583333333333
468,10/30/2013,17,91.19999999999999,0.04875
469,11/06/2013,21,91.19999999999999,0.048854166666666664
470,01/08/2014,20,90.9,0.04895833333333333
471,01/30/2014,21,90.9,0.0490625
472,01/27/2014,18,90.80000000000001,0.049166666666666664
473,09/30/2013,21,90.80000000000001,0.04927083333333333
474,10/14/2013,21,90.6,0.049375
475,10/07/2013,21,90.5,0.049479166666666664
476,11/13/2013,18,90.4,0.04958333333333333
477,10/30/2013,22,90.30000000000001,0.0496875
478,05/20/2013,20,90.2,0.049791666666666665
479,10/16/2013,22,90.10000000000001,0.049895833333333334
480,10/09/2013,22,90.1,0.05
481,11/29/2013,20,90.1,0.050104166666666665
482,06/09/2013,20,89.9,0.050208333333333334
483,01/20/2014,18,89.8,0.0503125
484,01/15/2014,19,89.5,0.050416666666666665
485,01/09/2014,21,89.4,0.050520833333333334
486,11/25/2013,21,89.4,0.050625
487,01/02/2014,20,89.30000000000001,0.050729166666666665
488,05/24/2013,20,89.3,0.050833333333333335
