Date,Use_kWh
2011-07-12,15571.9
2011-07-13,15265.3
2011-07-14,14630.0
2011-07-15,13845.5
2011-07-16,14771.1
2011-07-17,14954.0
2011-07-18,15629.6
2011-07-19,15935.8
2011-07-20,15986.7
2011-07-21,16163.0
2011-07-22,16385.3
2011-07-23,15635.6
2011-07-24,15506.0
2011-07-25,15838.5
2011-07-26,15234.6
2011-07-27,14838.1
2011-07-28,15027.7
2011-07-29,16296.9
2011-07-30,15434.2
2011-07-31,15033.2
2011-08-01,15603.0
2011-08-02,15750.5
2011-08-03,15956.3
2011-08-04,15900.9
2011-08-05,15320.3
2011-08-06,15351.8
2011-08-07,15685.4
2011-08-08,15540.6
2011-08-09,15816.8
2011-08-10,15085.8
2011-08-11,14287.1
2011-08-12,14020.0
2011-08-13,14362.2
2011-08-14,15312.0
2011-08-15,14942.5
2011-08-16,14048.1
2011-08-17,15073.3
2011-08-18,15915.5
2011-08-19,15866.9
2011-08-20,15553.9
2011-08-21,15716.1
2011-08-22,15713.9
2011-08-23,14568.7
2011-08-24,15220.6
2011-08-25,16113.2
2011-08-26,15970.1
2011-08-27,15460.0
2011-08-28,15323.3
2011-08-29,15356.9
2011-08-30,14550.7
2011-08-31,13849.4
2011-09-01,14021.8
2011-09-02,14048.4
2011-09-03,13919.1
2011-09-04,14147.7
2011-09-05,14142.5
2011-09-06,14793.4
2011-09-07,15685.2
2011-09-08,16034.7
2011-09-09,15719.8
2011-09-10,15359.4
2011-09-11,15408.1
2011-09-12,15649.1
2011-09-13,15976.4
2011-09-14,15890.5
2011-09-15,15715.3
2011-09-16,13909.1
2011-09-17,13331.1
2011-09-18,13293.8
2011-09-19,13970.4
2011-09-20,14731.3
2011-09-21,15705.6
2011-09-22,16002.2
2011-09-23,15951.6
2011-09-24,15447.7
2011-09-25,15525.2
2011-09-26,15932.5
2011-09-27,15963.7
2011-09-28,15827.9
2011-09-29,15439.2
2011-09-30,14219.2
2011-10-01,13230.4
2011-10-02,12990.6
2011-10-03,13413.2
2011-10-04,13858.8
2011-10-05,14075.5
2011-10-06,13908.6
2011-10-07,13822.0
2011-10-08,13382.5
2011-10-09,13493.6
2011-10-10,13655.7
2011-10-11,14129.0
2011-10-12,14239.9
2011-10-13,14294.0
2011-10-14,14037.6
2011-10-15,13552.6
2011-10-16,13478.5
2011-10-17,13841.8
2011-10-18,13974.3
2011-10-19,14135.9
2011-10-20,13767.5
2011-10-21,13532.2
2011-10-22,13285.4
2011-10-23,13253.5
2011-10-24,13823.2
2011-10-25,13817.9
2011-10-26,13881.8
2011-10-27,14085.5
2011-10-28,13620.6
2011-10-29,13227.2
2011-10-30,13276.7
2011-10-31,13601.1
2011-11-01,13659.6
2011-11-02,13676.0
2011-11-03,13732.6
2011-11-04,13599.8
2011-11-05,13265.2
2011-11-06,13697.7
2011-11-07,13492.7
2011-11-08,13567.6
2011-11-09,13035.6
2011-11-10,13594.9
2011-11-11,13294.2
2011-11-12,13305.5
2011-11-13,13301.7
2011-11-14,13648.7
2011-11-15,13758.5
2011-11-16,13523.6
2011-11-17,13593.5
2011-11-18,13424.9
2011-11-19,13206.0
2011-11-20,13337.4
2011-11-21,13735.0
2011-11-22,13809.3
2011-11-23,13539.2
2011-11-24,13141.4
2011-11-25,13063.7
2011-11-26,13131.2
2011-11-27,13238.6
2011-11-28,13620.8
2011-11-29,13521.8
2011-11-30,13339.8
2011-12-01,13624.1
2011-12-02,13470.0
2011-12-03,13226.2
2011-12-04,13264.7
2011-12-05,13506.9
2011-12-06,13872.2
2011-12-07,13671.0
2011-12-08,13400.0
2011-12-09,13337.9
2011-12-10,13129.4
2011-12-11,13112.9
2011-12-12,13375.9
2011-12-13,13481.6
2011-12-14,13255.3
2011-12-15,13614.1
2011-12-16,13479.9
2011-12-17,13138.1
2011-12-18,13108.4
2011-12-19,13323.4
2011-12-20,13398.4
2011-12-21,13191.6
2011-12-22,13327.6
2011-12-23,13153.3
2011-12-24,12858.9
2011-12-25,12849.2
2011-12-26,12914.5
2011-12-27,13123.6
2011-12-28,13098.7
2011-12-29,13296.8
2011-12-30,13288.1
2011-12-31,13062.1
2012-01-01,13146.1
2012-01-02,12957.7
2012-01-03,13186.1
2012-01-04,13170.2
2012-01-05,13524.6
2012-01-06,13459.8
2012-01-07,13200.8
2012-01-08,13207.7
2012-01-09,13598.5
2012-01-10,13866.3
2012-01-11,13794.3
2012-01-12,14059.9
2012-01-13,13797.3
2012-01-14,13610.3
2012-01-15,11608.2
2012-01-16,11131.6
2012-01-17,11348.2
2012-01-18,11179.3
2012-01-19,11366.3
2012-01-20,11396.3
2012-01-21,11165.3
